"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000277147",38.6553338718272,-1.65487505335233,0.587276314822986,-2.81788148369501,0.00483416499512685,0.396425226487633
"ENSG00000160801",32.5777055832339,-1.93592041062979,0.687664728085994,-2.8152096967633,0.0048745415369701,0.396942294876754
"ENSG00000228065",141.120235973012,-2.50240485090139,0.889165887699487,-2.81432844592789,0.00488792592172941,0.396942294876754
"ENSG00000092969",15.997252564902,1.83915653740061,0.65636901979307,2.80201606404341,0.00507843448137475,0.401641230943979
"ENSG00000250125",134.002200075029,-3.19011635068791,1.13899203542163,-2.80082410717386,0.00509722934213074,0.401641230943979
"ENSG00000122335",57.1543698905622,-1.50140379826321,0.535138733013723,-2.8056346992635,0.00502175874278705,0.401641230943979
"ENSG00000269929",14.1527504231291,2.31611234076909,0.827249928007086,2.79977339659467,0.00511384913569655,0.401641230943979
"ENSG00000196739",1267.55420981156,1.68771678534099,0.602364474850685,2.80181992100271,0.00508152296622968,0.401641230943979
"ENSG00000139567",86.247361260845,-1.59689175052132,0.569301932980452,-2.80499969877347,0.00503166267864771,0.401641230943979
"ENSG00000176435",28.6632684206469,-1.59985809742067,0.570941523834618,-2.8021400277134,0.00507648341417866,0.401641230943979
"ENSG00000164049",39.997522054863,1.89043053498648,0.676345586390124,2.79506597370779,0.00518891248253915,0.40205526848894
"ENSG00000112851",1524.54389086115,0.873882469300228,0.312381868748309,2.79748140569685,0.00515027316068816,0.40205526848894
"ENSG00000150867",3526.23704115873,-1.52697802448825,0.546340087849102,-2.79492217109647,0.00519122111265533,0.40205526848894
"ENSG00000249150",4.29438099191644,-5.39981354195128,1.93427476454531,-2.79164761952555,0.00524404310613377,0.402420170286751
"ENSG00000065833",38.7305299241405,-2.10962305647627,0.755400073734543,-2.79272286279603,0.00522664498921416,0.402420170286751
"ENSG00000109743",36.2359432564955,-1.84019292003191,0.660187841977088,-2.78737777799878,0.00531364941743842,0.405516350668728
